Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
MN558888,Classical swine fever virus,GenBank,set:MN558888,"Choe,S., Kim,J.H., Kim,K.S., Song,S., Kang,W.C., Kim,H.J., Park,G.N., Cha,R.M., Cho,I.S., Hyun,B.H., Park,B.K., An,D.J., Kim,J.-H., Kim,K.-S., Kang,W.-C., Kim,H.-J., Park,G.-N., Cho,I.-S., Hyun,B.-H., Park,B.-K., An,D.-J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2019-12-15,,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,blood,2018
MN558889,Classical swine fever virus,GenBank,set:MN558889,"Choe,S., Kim,J.H., Kim,K.S., Song,S., Kang,W.C., Kim,H.J., Park,G.N., Cha,R.M., Cho,I.S., Hyun,B.H., Park,B.K., An,D.J., Kim,J.-H., Kim,K.-S., Kang,W.-C., Kim,H.-J., Park,G.-N., Cho,I.-S., Hyun,B.-H., Park,B.-K., An,D.-J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2019-12-15,,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,blood,2018
MH307700,Atypical porcine pestivirus,GenBank,set:MH307700,"Jin,H.","CAU, CVM",China,2019-12-10,,Pestivirus scrofae,11556,complete,China,,Sus scrofa,,2017-03-31
MN584737,Atypical porcine pestivirus,GenBank,set:MN584737,"Yan,H., Wang,X., Wang,G.","South China University of Technology, School of Food Science and Engineering",China,2019-11-18,GD-CT4,Pestivirus scrofae,11101,complete,China,,Sus scrofa,,2018
MK775204,Bovine viral diarrhea virus 1,GenBank,set:MK775204,"Neill,J.D., Crosley,B., Falkenberg,S.M.","National Animal Disease Center, Ruminant Diseases and Immunology Research Unit",USA,2019-11-05,CA2006,Pestivirus bovis,15752,complete,USA,,Bos taurus,,2006
LR699799,Bovine viral diarrhea virus 1,GenBank,set:LR699799,"Russell,C.G.","MOREDUN RESEARCH INSTITUTE, Virology Division, Vaccines Pillar, Moredun Research Institute, Pentlands Science Park, Bush Loan, Penicuik, Midlothian, EH26 0PZ",United Kingdom,2019-11-01,,Pestivirus bovis,12292,partial,,,,,
LR699800,Bovine viral diarrhea virus 1,GenBank,set:LR699800,"Russell,C.G.","MOREDUN RESEARCH INSTITUTE, Virology Division, Vaccines Pillar, Moredun Research Institute, Pentlands Science Park, Bush Loan, Penicuik, Midlothian, EH26 0PZ",United Kingdom,2019-11-01,,Pestivirus bovis,12296,partial,,,,,
LR699801,Bovine viral diarrhea virus 1,GenBank,set:LR699801,"Russell,C.G.","MOREDUN RESEARCH INSTITUTE, Virology Division, Vaccines Pillar, Moredun Research Institute, Pentlands Science Park, Bush Loan, Penicuik, Midlothian, EH26 0PZ",United Kingdom,2019-11-01,,Pestivirus bovis,12043,partial,,,,,
LR699802,Bovine viral diarrhea virus 1,GenBank,set:LR699802,"Russell,C.G.","MOREDUN RESEARCH INSTITUTE, Virology Division, Vaccines Pillar, Moredun Research Institute, Pentlands Science Park, Bush Loan, Penicuik, Midlothian, EH26 0PZ",United Kingdom,2019-11-01,,Pestivirus bovis,12043,partial,,,,,
LR699803,Bovine viral diarrhea virus 1,GenBank,set:LR699803,"Russell,C.G.","MOREDUN RESEARCH INSTITUTE, Virology Division, Vaccines Pillar, Moredun Research Institute, Pentlands Science Park, Bush Loan, Penicuik, Midlothian, EH26 0PZ",United Kingdom,2019-11-01,,Pestivirus bovis,12023,partial,,,,,
MK910227,Phocoena pestivirus,GenBank,set:MK910227,"Jo,W.K., van Elk,C., van de Bildt,M., van Run,P., Petry,M., Jesse,S.T., Jung,K., Ludlow,M., Kuiken,T., Osterhaus,A.","University of Veterinary Medicine Hannover, Research Center for Emerging Infections and Zoonoses",Germany,2019-10-23,NS170385,Pestivirus M,11880,complete,Netherlands,,Phocoena phocoena,lung,2012
MK910228,Phocoena pestivirus,GenBank,set:MK910228,"Jo,W.K., van Elk,C., van de Bildt,M., van Run,P., Petry,M., Jesse,S.T., Jung,K., Ludlow,M., Kuiken,T., Osterhaus,A.","University of Veterinary Medicine Hannover, Research Center for Emerging Infections and Zoonoses",Germany,2019-10-23,NS170386,Pestivirus M,11880,complete,Netherlands,,Phocoena phocoena,brain,2008
MK910229,Phocoena pestivirus,GenBank,set:MK910229,"Jo,W.K., van Elk,C., van de Bildt,M., van Run,P., Petry,M., Jesse,S.T., Jung,K., Ludlow,M., Kuiken,T., Osterhaus,A.","University of Veterinary Medicine Hannover, Research Center for Emerging Infections and Zoonoses",Germany,2019-10-23,NS170386,Pestivirus M,12060,complete,Netherlands,,Phocoena phocoena,lung,2008
MK629522,Atypical porcine pestivirus 1,GenBank,set:MK629522,"Ren,X.J., Liu,J.X., Li,Z.B., Li,H.Z., Zhang,P.T., Lu,R., Ning,Z.Y.","South China Agricultural University, College of Veterinary Medicine",China,2019-10-08,,Pestivirus scrofae,11475,partial,China: Guangdong,,Sus scrofa,,2017-12-30
MK599227,Bovine viral diarrhea virus 2,GenBank,set:MK599227,"Cheng,K.","Shandong Academy of Agricultural Science, Dairy Cattle Research Center",China,2019-10-01,,Pestivirus tauri,12183,partial,China,,Bos taurus,blood,2016-03
MK509773,Bovine viral diarrhea virus 1a,GenBank,set:MK509773,"Choe,S., Lim,S.I., Kim,J., Kim,K.S., Cha,R.M., Cho,I.S., An,D.J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2019-09-04,BVD1a-JB,Pestivirus bovis,12169,complete,South Korea,,Bos taurus,feces,2008-10
MK509774,Bovine viral diarrhea virus 1b,GenBank,set:MK509774,"Choe,S., Lim,S.I., Kim,J., Cha,R.M., Cho,I.S., An,D.J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2019-09-04,BVD1b-JH,Pestivirus bovis,12110,complete,South Korea,,Bos taurus,feces,2008-10
MK509775,Bovine viral diarrhea virus 2a,GenBank,set:MK509775,"Choe,S., Lim,S.I., Kim,J., Kim,K.S., Cha,R.M., Cho,I.S., An,D.J.","Animal and Plant Quarantine Agency, Viral Disease Division",Korea,2019-09-04,BVD2a-CA,Pestivirus bovis,12150,complete,South Korea,,Bos taurus,feces,2008-11
MK728876,Atypical porcine pestivirus,GenBank,set:MK728876,"Sutton,K.M., Lahmers,K.K., Harris,S.P., Wijesena,H.R., Mote,B.E., Kachman,S.D., Borza,T., Ciobanu,D.C., Sutton,K., Lahmers,K., Harris,S., Wijesena,H., Mote,B., Ciobanu,D.","University of Nebraska - Lincoln, Animal Science",USA,2019-08-18,UNL.082017,Pestivirus scrofae,10846,partial,USA,,Sus scrofa,,2017
MN025505,Trinbago virus,GenBank,set:MN025505,"Sameroff,S., Tokarz,R., Charles,R.A., Jain,K., Oleynik,A., Che,X., Georges,K., Carrington,C.V., Lipkin,W.I., Oura,C., Sameroff,S.C., Charles,R., Carrington,C.","Columbia University, Center for Infection and Immunity",USA,2019-08-06,TTP-Pool-4,Trinbago virus,16274,complete,Trinidad and Tobago,,,,2017
MN099163,Atypical porcine pestivirus,GenBank,set:MN099163,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,8247,Pestivirus scrofae,11487,partial,Switzerland: LU,,Sus scrofa domesticus,blood,2006
MN099164,Atypical porcine pestivirus,GenBank,set:MN099164,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,2086,Pestivirus scrofae,11554,partial,Switzerland: BE,,Sus scrofa domesticus,blood,2006
MN099165,Atypical porcine pestivirus,GenBank,set:MN099165,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,SK68-11,Pestivirus scrofae,11564,partial,Switzerland: LU,,Sus scrofa domesticus,blood,2011-07-08
MN099166,Atypical porcine pestivirus,GenBank,set:MN099166,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,S13-0310,Pestivirus scrofae,11417,partial,Switzerland: AI,,Sus scrofa domesticus,,2013-03-11
MN099167,Atypical porcine pestivirus,GenBank,set:MN099167,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,5620,Pestivirus scrofae,11565,partial,Switzerland: BE,,Sus scrofa domesticus,blood,2015
MN099168,Atypical porcine pestivirus,GenBank,set:MN099168,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,170575-1,Pestivirus scrofae,11562,partial,Switzerland: VD,,Sus scrofa domesticus,salivary gland,2017-07-24
MN099169,Atypical porcine pestivirus,GenBank,set:MN099169,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,170711-1,Pestivirus scrofae,11563,partial,Switzerland: LU,,Sus scrofa domesticus,,2017-10-11
MN099170,Atypical porcine pestivirus,GenBank,set:MN099170,"Kaufmann,C., Stalder,H., Sidler,X., Renzullo,S., Gurtner,C., Grahofer,A., Schweizer,M.","Institute of Virology and Immunology (IVI), Department of Infectious Diseases and Pathobiology",Switzerland,2019-08-06,180416,Pestivirus scrofae,11544,partial,Switzerland: LU,,Sus scrofa domesticus,,2018
MF590069,Porcine pestivirus 1,GenBank,set:MF590069,"Chen,F., Knutson,T.P., Marthaler,D.G.","University of Minnesota, Veterinary Medicine",USA,2019-08-01,,Pestivirus scrofae,11397,complete,USA,,Sus scrofa,blood,2016-09-15
MK618725,Pestivirus sp.,GenBank,set:MK618725,"Sozzi,E., Lavazza,A., Gaffuri,A., Bencetti,F.C., Prosperi,A., Lelli,D., Chiapponi,C., Moreno,A., Baioni,L.","stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Sezione di Parma",Italy,2019-07-15,ovine/It/338710-2/2017,Pestivirus sp.,11143,partial,Italy,,Ovis aries,,2017-12
MK618726,ovine/IT pestivirus,GenBank,set:MK618726,"Sozzi,E., Lavazza,A., Gaffuri,A., Bencetti,F.C., Prosperi,A., Lelli,D., Chiapponi,C., Moreno,A., Baioni,L.","stituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna, Sezione di Parma",Italy,2019-07-15,ovine/It/338710-3/2017,Pestivirus O,12173,partial,Italy,,Ovis aries,,2017-12
MK378658,Atypical porcine pestivirus,GenBank,set:MK378658,"He,B., Tu,C.","Institute of Military Veterinary Medicine, Department of Virology",China,2019-06-25,APPV_VIRES_NM01_C1,Pestivirus scrofae,11116,partial,China,,Sus scrofa,,2017-04
MK216749,Atypical porcine pestivirus 1,GenBank,set:MK216749,"Yan,X.L., Li,Y.Y., He,L.L., Wu,J.L., Tang,X.Y., Chen,G.H., Mai,K.J., Wu,R.T., Li,Q.N., Chen,Y.H., Sun,Y., Ma,J.Y., Xiaoling,Y., Yiyun,L., Lili,H., Jiaoling,W., Xiaoyu,T., Guihua,C., Kaijie,M., Ruiting,W., Qianniu,L., Yonghui,C., Yuan,S., Jingyun,M.","South China Agricultural University, College of Animal Science",China,2019-06-22,AH-GL-2017.04,Pestivirus scrofae,11509,complete,China,,Sus scrofa,,2017-04
MK216750,Atypical porcine pestivirus 1,GenBank,set:MK216750,"Yan,X.L., Li,Y.Y., He,L.L., Wu,J.L., Tang,X.Y., Chen,G.H., Mai,K.J., Wu,R.T., Li,Q.N., Chen,Y.H., Sun,Y., Ma,J.Y., Xiaoling,Y., Yiyun,L., Lili,H., Jiaoling,W., Xiaoyu,T., Guihua,C., Kaijie,M., Ruiting,W., Qianniu,L., Yonghui,C., Yuan,S., Jingyun,M.","South China Agricultural University, College of Animal Science",China,2019-06-22,AH-GL-2018.01,Pestivirus scrofae,11509,complete,China,,Sus scrofa,,2018-01
MK216751,Atypical porcine pestivirus 1,GenBank,set:MK216751,"Yan,X.L., Li,Y.Y., He,L.L., Wu,J.L., Tang,X.Y., Chen,G.H., Mai,K.J., Wu,R.T., Li,Q.N., Chen,Y.H., Sun,Y., Ma,J.Y., Xiaoling,Y., Yiyun,L., Lili,H., Jiaoling,W., Xiaoyu,T., Guihua,C., Kaijie,M., Ruiting,W., Qianniu,L., Yonghui,C., Yuan,S., Jingyun,M.","South China Agricultural University, College of Animal Science",China,2019-06-22,AH-SG-2018.01,Pestivirus scrofae,11509,complete,China,,Sus scrofa,,2018-01
MK216752,Atypical porcine pestivirus 1,GenBank,set:MK216752,"Yan,X.L., Li,Y.Y., He,L.L., Wu,J.L., Tang,X.Y., Chen,G.H., Mai,K.J., Wu,R.T., Li,Q.N., Chen,Y.H., Sun,Y., Ma,J.Y., Xiaoling,Y., Yiyun,L., Lili,H., Jiaoling,W., Xiaoyu,T., Guihua,C., Kaijie,M., Ruiting,W., Qianniu,L., Yonghui,C., Yuan,S., Jingyun,M.","South China Agricultural University, College of Animal Science",China,2019-06-22,GD-HJ-2017.04,Pestivirus scrofae,11509,complete,China,,Sus scrofa,,2017-04
MK216753,Atypical porcine pestivirus 1,GenBank,set:MK216753,"Yan,X.L., Li,Y.Y., He,L.L., Wu,J.L., Tang,X.Y., Chen,G.H., Mai,K.J., Wu,R.T., Li,Q.N., Chen,Y.H., Sun,Y., Ma,J.Y., Xiaoling,Y., Yiyun,L., Lili,H., Jiaoling,W., Xiaoyu,T., Guihua,C., Kaijie,M., Ruiting,W., Qianniu,L., Yonghui,C., Yuan,S., Jingyun,M.","South China Agricultural University, College of Animal Science",China,2019-06-22,GD-LN-2017.04,Pestivirus scrofae,11509,complete,China,,Sus scrofa,,2017-04
MK216754,Atypical porcine pestivirus 1,GenBank,set:MK216754,"Yan,X.L., Li,Y.Y., He,L.L., Wu,J.L., Tang,X.Y., Chen,G.H., Mai,K.J., Wu,R.T., Li,Q.N., Chen,Y.H., Sun,Y., Ma,J.Y., Xiaoling,Y., Yiyun,L., Lili,H., Jiaoling,W., Xiaoyu,T., Guihua,C., Kaijie,M., Ruiting,W., Qianniu,L., Yonghui,C., Yuan,S., Jingyun,M.","South China Agricultural University, College of Animal Science",China,2019-06-22,GD-ZW-2017.10,Pestivirus scrofae,11509,complete,China,,Sus scrofa,,2017-10
MH885413,Atypical porcine pestivirus,GenBank,set:MH885413,"Wu,J.M., Li,Z.S., Hou,Y.E.","Guangdong Haid Institute of Animal Husbandry & Veterinary, Guangdong Haid Group Co., Ltd.",China,2019-05-29,,Pestivirus scrofae,11494,partial,China,,Sus scrofa,,2018-08
MK211486,Classical swine fever virus,GenBank,set:MK211486,"Wu,J., Wang,X., Liu,Z., Wang,J., Zeng,H., Zhang,P.","Shandong Academy of Agricultural Sciences, Institute of Animal Sciences of SAAS",,2019-05-28,SDWF-2016,Pestivirus suis,12295,complete,China,,Sus scrofa,,2016
MK347474,Atypical porcine pestivirus,GenBank,set:MK347474,"Xie,Y., He,D.","South China Agricultural University, College of Veterinary Medicine",China,2019-05-25,GD-LDCT1,Pestivirus scrofae,11089,complete,China,,Sus scrofa,,2018
MK347475,Atypical porcine pestivirus,GenBank,set:MK347475,"Xie,Y., He,D.","South China Agricultural University, College of Veterinary Medicine",China,2019-05-25,GD-YJHSEY2N,Pestivirus scrofae,11043,complete,China,,Sus scrofa,,2017
MK347476,Atypical porcine pestivirus,GenBank,set:MK347476,"Xie,Y., He,D.","South China Agricultural University, College of Veterinary Medicine",China,2019-05-25,GD-YJHSEY3N,Pestivirus scrofae,11043,complete,China,,Sus scrofa,,2017
MK102095,Bovine viral diarrhea virus 1,GenBank,set:MK102095,"He,Y., Ma,X.","Shihezi University, College of Animal Science and Technology",China,2019-05-22,20170226,Pestivirus bovis,12271,complete,China,,Bos taurus,feces,2017-02-26
MH221022,Atypical porcine pestivirus,GenBank,set:MH221022,"Li,Y.","South China Agricultural University, College of Animal Science",China,2019-04-30,APPV-China/GD-GL/2016,Pestivirus scrofae,11043,complete,China,,Sus scrofa,brain,2016-04
MH221023,Atypical porcine pestivirus,GenBank,set:MH221023,"Li,Y.","South China Agricultural University, College of Animal Science",China,2019-04-30,APPV-China/GD-HE/2016,Pestivirus scrofae,11043,complete,China,,Sus scrofa,brain,2016-04
MH221024,Atypical porcine pestivirus,GenBank,set:MH221024,"Li,Y.","South China Agricultural University, College of Animal Science",China,2019-04-30,APPV-China/GD-HG/2016,Pestivirus scrofae,11043,complete,China,,Sus scrofa,brain,2016-04
MH221025,Atypical porcine pestivirus,GenBank,set:MH221025,"Li,Y.","South China Agricultural University, College of Animal Science",China,2019-04-30,APPV-China/GD-SHM/2016,Pestivirus scrofae,11043,complete,China,,Sus scrofa,brain,2016-04
MH221026,Atypical porcine pestivirus,GenBank,set:MH221026,"Li,Y.","South China Agricultural University, College of Animal Science",China,2019-04-30,APPV-China/GD-SHT/2016,Pestivirus scrofae,11043,complete,China,,Sus scrofa,brain,2016-04
MH221027,Atypical porcine pestivirus,GenBank,set:MH221027,"Li,Y.","South China Agricultural University, College of Animal Science",China,2019-04-30,APPV-China/GD-ST/2016,Pestivirus scrofae,11043,complete,China,,Sus scrofa,brain,2016-04
MH899941,Bovine viral diarrhea virus 1,GenBank,set:MH899941,"Toplak,I., Rihtaric,D., Kuhar,U.","Veterinary Faculty, Virology Unit",Slovenia,2019-04-28,SLO/3301/2014,Pestivirus bovis,12195,complete,Slovenia,,Bos taurus,,2014-04-09
MH899942,Bovine viral diarrhea virus 1,GenBank,set:MH899942,"Toplak,I., Rihtaric,D., Kuhar,U.","Veterinary Faculty, Virology Unit",Slovenia,2019-04-28,SLO/33529/2015,Pestivirus bovis,12180,complete,Slovenia,,Bos taurus,,2015-10-23
MH899943,Bovine viral diarrhea virus 1,GenBank,set:MH899943,"Toplak,I., Rihtaric,D., Kuhar,U.","Veterinary Faculty, Virology Unit",Slovenia,2019-04-28,SLO/1361/2014,Pestivirus bovis,12249,complete,Slovenia,,Bos taurus,,2014-02-21
MH899944,Bovine viral diarrhea virus 1,GenBank,set:MH899944,"Toplak,I., Rihtaric,D., Kuhar,U.","Veterinary Faculty, Virology Unit",Slovenia,2019-04-28,SLO/28537/2017,Pestivirus bovis,12297,complete,Slovenia,,Bos taurus,,2017-09-27
MH899945,Bovine viral diarrhea virus 1,GenBank,set:MH899945,"Toplak,I., Rihtaric,D., Kuhar,U.","Veterinary Faculty, Virology Unit",Slovenia,2019-04-28,SLO/1883/2013,Pestivirus bovis,12167,complete,Slovenia,,Bos taurus,,2013-03-04
MK453045,Atypical porcine pestivirus,GenBank,set:MK453045,"Xie,S.Y., Shi,K.C., Lu,W.J., Yin,Y.W., Qu,S.J., Feng,S.P., Su,Y.Q.",Guangxi Center for Animal Disease Control and Prevention,China,2019-04-22,GX02-2018,Pestivirus scrofae,11564,complete,China,,Sus scrofa,,2018
MH520668,Atypical porcine pestivirus,GenBank,set:MH520668,"Li,Q., Zhou,Q.","Guangdong Wens Foodstuffs Group Co. Ltd, Guangdong Enterprise Key Laboratory for Animal Health and Environmental Control",China,2019-03-13,,Pestivirus scrofae,11234,partial,China,,Sus scrofa,,2018-02
MH734359,Classical swine fever virus,GenBank,set:MH734359,"Patil,S.S., Suresh,K.P., Raghavendra,A.G., Mondal,M., Hiremath,J., Hemadri,D., Rahman,H., Roy,P.","ICAR-National Institute of Veterinary Epidemiology and Disease Informatics, Epidemiology-Virology",India,2019-03-03,NIVEDI-165,Pestivirus suis,12297,complete,India,,Sus scrofa,,2007
MH807261,Porcine pestivirus isolate Bungowannah,GenBank,set:MH807261,"Dalmann,A., Wernike,K., Reimann,I., Finlaison,D.S., Kirkland,P.D., Beer,M.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology",Germany,2019-02-19,,Pestivirus australiaense,12168,complete,Australia,,Sus scrofa,,2003
MH807262,Porcine pestivirus isolate Bungowannah,GenBank,set:MH807262,"Dalmann,A., Wernike,K., Reimann,I., Finlaison,D.S., Kirkland,P.D., Beer,M.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology",Germany,2019-02-19,,Pestivirus australiaense,12540,complete,Australia,,Sus scrofa,,2010
MH807263,Porcine pestivirus isolate Bungowannah,GenBank,set:MH807263,"Dalmann,A., Wernike,K., Reimann,I., Finlaison,D.S., Kirkland,P.D., Beer,M.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology",Germany,2019-02-19,,Pestivirus australiaense,12625,complete,Australia,,Sus scrofa,,2014
MH410812,Bovine viral diarrhea virus 3,GenBank,set:MH410812,"Silveira,S., Cibulski,S.P., Mosena,A.C.S., Weber,M.N., Canal,C.W.","Universidade Federal do Rio Grande do Sul, Laboratorio de Virologia Veterinaria",,2019-02-13,LV168-36/16RN,Pestivirus brazilense,12295,complete,Brazil,,Bos taurus,blood,2013
MH410813,Bovine viral diarrhea virus 3,GenBank,set:MH410813,"Silveira,S., Cibulski,S.P., Mosena,A.C.S., Weber,M.N., Canal,C.W.","Universidade Federal do Rio Grande do Sul, Laboratorio de Virologia Veterinaria",,2019-02-13,LV168-29/16RN,Pestivirus brazilense,12184,complete,Brazil,,Bos taurus,blood,2013
MH410814,Bovine viral diarrhea virus 3,GenBank,set:MH410814,"Silveira,S., Cibulski,S.P., Mosena,A.C.S., Weber,M.N., Canal,C.W.","Universidade Federal do Rio Grande do Sul, Laboratorio de Virologia Veterinaria",,2019-02-13,LV125-8/16MA,Pestivirus brazilense,12156,complete,Brazil,,Bos taurus,blood,2013
MH410815,Bovine viral diarrhea virus 3,GenBank,set:MH410815,"Silveira,S., Cibulski,S.P., Mosena,A.C.S., Weber,M.N., Canal,C.W.","Universidade Federal do Rio Grande do Sul, Laboratorio de Virologia Veterinaria",,2019-02-13,LV127-29/16MA,Pestivirus brazilense,12096,complete,Brazil,,Bos taurus,blood,2013
MH410816,Bovine viral diarrhea virus 3,GenBank,set:MH410816,"Silveira,S., Cibulski,S.P., Mosena,A.C.S., Weber,M.N., Canal,C.W.","Universidade Federal do Rio Grande do Sul, Laboratorio de Virologia Veterinaria",,2019-02-13,LV03/12,Pestivirus brazilense,12032,complete,Brazil,,Bos taurus,blood,2011
MH509410,Atypical porcine pestivirus,GenBank,set:MH509410,"Yoo,S.J., Kwon,T., Moon,S.-H., Park,J.W., Lyoo,E.L., Lyoo,Y.S.","College of Veterinary Medicine, Konkuk University, Pathology",,2019-02-04,KU16-6,Pestivirus scrofae,11494,partial,South Korea,,Sus scrofa,,2016
MK405702,Classical swine fever virus,GenBank,set:MK405702,"Riyesh,T., Dhar,P., Barua,S., Jindal,N., Upmanyu,V., Yadav,M., Anagha,G., Tiwari,A.K., Malik,P., Kumar,N., Singh,R.K., Tripathi,B.N.","ICAR-National Research Centre on Equines, NCVTC",India,2019-02-03,VTCC_Haryana_46-12,Pestivirus suis,12297,complete,"India: Rohtak, Haryana",,Sus scrofa,"spleen, abdominal cavity",2012-12-30
MK405703,Classical swine fever virus,GenBank,set:MK405703,"Riyesh,T., Dhar,P., Barua,S., Jindal,N., Upmanyu,V., Yadav,M., Anagha,G., Tiwari,A.K., Malik,P., Kumar,N., Singh,R.K., Tripathi,B.N.","ICAR-National Research Centre on Equines, NCVTC",India,2019-02-03,IVRI/Std|India,Pestivirus suis,12294,complete,India,,Sus scrofa,"spleen, abdominal cavity",2012-08-30
MA795255,Classical swine fever virus,GenBank,set:MA795255,"Arruda,B.L., Magstadt,D.R., Hobbs,L.A., Iyer,A.V., Schwartz,K.J., Visek,C.A., Patterson,A.R., Arruda,P.H.E., Victoria,J.G.",,,2019-01-31,,Pestivirus suis,11550,partial,,,,,
MK093241,Classical swine fever virus,GenBank,set:MK093241,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1823,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2017-03
MK093242,Classical swine fever virus,GenBank,set:MK093242,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1824,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2017-09
MK093243,Classical swine fever virus,GenBank,set:MK093243,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1825-1,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-06
MK093244,Classical swine fever virus,GenBank,set:MK093244,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1825-2,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-06
MK093245,Classical swine fever virus,GenBank,set:MK093245,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1825-3,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-06
MK093246,Classical swine fever virus,GenBank,set:MK093246,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1826-1,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-07
MK093247,Classical swine fever virus,GenBank,set:MK093247,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1826-2,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-07
MK093248,Classical swine fever virus,GenBank,set:MK093248,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1826-3,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-07
MK093249,Classical swine fever virus,GenBank,set:MK093249,"Jang,G., Kim,J.A., Kang,W.M., Yang,H.S., Park,C., Jeong,K., Moon,S.U., Park,C.K., Lyoo,Y.S., Lee,C.","Kyungpook National University, Department of Microbiology, College of Natural Sciences",South Korea,2019-01-22,KNU-1826-4,Pestivirus suis,12298,complete,South Korea,,Sus scrofa,,2018-07
